year,acclimatized,year,adventive,year,alien,year,allochtonous,year,anthropochore,year,archaeophyte,year,casual,year,colonizer,year,cryptogenic,year,domestic (iea),year,escaped,year,established,year,exotic,year,expanding,year,extralimital,year,feral,year,foreign,year,immigrant,year,imported,year,introduced,year,invasive,year,invasive alien,year,invasive non-native,year,migrant,year,naturalized,year,neophyte,year,new non-native,year,neonative,year,newcomer,year,non-indigenous,year,non-native,year,non-resident,year,noxious,year,nuisance,year,pest,year,quarantine,year,questionable,year,range-expanding,year,released,year,tramp,year,transferred,year,transformer,year,transient,year,translocated,year,transplanted,year,transported,year,unwanted,year,vagrant,,weed
,,2013,3,2013,306,2013,5,,,1992,1,2011,1,2013,2,2013,9,,,,,2013,27,2013,315,2013,10,2012,2,2012,1,2013,3,2007,2,2013,1,2013,222,2013,1193,2013,78,2013,5,2013,15,2013,13,2012,4,2008,1,,,,,2013,90,2013,210,2012,3,2013,4,2013,7,2013,107,2012,3,2003,1,2013,3,2012,4,2012,2,2012,2,2009,2,2013,20,2013,3,2011,2,2013,1,2013,5,2012,4,2013,196
,,2012,6,2012,289,2012,6,,,,,2010,3,2012,4,2012,3,,,,,2012,46,2012,336,2012,4,2011,2,2011,1,2012,3,2006,4,2012,3,2012,240,2012,1130,2012,61,2012,10,2012,23,2012,12,2011,3,2007,1,,,,,2012,86,2012,200,2011,2,2012,2,2012,13,2012,102,2011,2,2000,1,2012,2,2011,2,2011,3,2011,5,2007,1,2012,17,2012,3,2010,1,2012,3,2012,4,2011,1,2012,216
,,2011,2,2011,295,2011,9,,,,,2009,1,2011,2,2011,5,,,,,2011,21,2011,288,2011,6,2009,2,2009,2,2011,7,2005,1,2011,1,2011,217,2011,1175,2011,77,2011,4,2011,16,2011,17,2010,1,1993,1,,,,,2011,91,2011,204,2009,2,2011,2,2011,8,2011,98,2010,3,1999,1,2011,1,2010,2,2010,3,2010,2,2006,2,2011,14,2011,2,2009,2,2011,8,2011,5,2010,3,2011,223
,,2010,6,2010,293,2010,5,,,,,2008,1,2009,3,2010,6,,,,,2010,28,2010,287,2010,3,2006,1,2008,1,2010,7,2004,1,2010,3,2010,218,2010,1025,2010,81,2010,3,2010,18,2010,20,2009,2,,,,,,,2010,89,2010,185,2007,3,2010,3,2010,3,2010,83,2006,2,1996,1,2010,1,2009,2,2009,1,2009,2,2005,1,2010,11,2010,2,2008,2,2010,2,2010,3,2009,4,2010,193
,,2009,8,2009,219,2009,2,,,,,2004,2,2008,4,2009,4,,,,,2009,37,2009,277,2009,4,2005,1,2007,1,2009,8,2002,1,2009,1,2009,210,2009,821,2009,50,2009,6,2009,19,2009,11,2007,1,,,,,,,2009,72,2009,135,2005,1,2009,3,2009,11,2009,73,2005,1,1994,1,2008,2,2008,2,2008,1,2008,1,2004,1,2009,12,2009,2,2007,1,2009,1,2008,3,2006,1,2009,215
,,2008,6,2008,194,2007,1,,,,,2003,2,2007,1,2008,4,,,,,2008,20,2008,258,2008,7,2004,1,2006,1,2008,1,2001,1,2008,5,2008,213,2008,729,2008,40,2008,8,2008,13,2008,15,2006,1,,,,,,,2008,62,2008,130,2004,1,2008,2,2008,6,2008,65,2004,1,1993,1,,,2007,1,2007,2,2007,3,,,2008,14,2008,2,2006,4,2008,2,2007,3,2005,3,2008,226
,,2007,4,2007,161,2006,3,,,,,2002,1,2006,4,2007,3,,,,,2007,25,2007,242,2007,3,2003,1,2005,1,2007,5,2000,4,2007,3,2007,175,2007,557,2007,30,2007,6,2007,13,2007,7,1999,1,,,,,,,2007,60,2007,112,2003,2,2007,2,2007,11,2007,55,1999,1,,,,,2006,1,2006,1,2006,2,,,2007,17,2007,1,2004,6,2007,1,2006,2,2003,1,2007,181
,,2006,6,2006,138,2005,1,,,,,1995,1,2005,6,2006,3,,,,,2006,23,2006,258,2006,3,2002,2,2004,3,2006,1,1999,1,2005,2,2006,179,2006,508,2006,28,2006,6,2006,10,2006,10,1998,1,,,,,,,2006,66,2006,77,2002,1,2004,2,2006,5,2006,52,,,,,,,2004,1,2005,1,2005,2,,,2006,7,2006,3,2002,3,2006,2,2005,1,2002,1,2006,208
,,2005,2,2005,109,2004,2,,,,,1994,1,2004,6,2005,4,,,,,2005,19,2005,222,2005,1,2001,1,2001,2,2005,2,1998,2,2004,1,2005,154,2005,382,2005,16,2005,4,2005,16,2005,10,1993,1,,,,,,,2005,70,2005,74,2001,2,2003,2,2005,10,2005,50,,,,,,,2003,2,2003,3,2003,3,,,2005,12,2004,2,2001,5,2005,3,2004,2,2001,1,2005,174
,,2004,3,2004,121,2002,3,,,,,,,2003,2,2004,3,,,,,2004,16,2004,178,2004,1,2000,1,1999,2,2004,2,1997,2,1999,1,2004,116,2004,342,2004,17,2004,2,2004,12,2004,12,,,,,,,,,2004,47,2004,56,2000,1,2002,1,2004,4,2004,46,,,,,,,2000,2,2001,1,2002,5,,,2004,18,2003,2,2000,2,2004,3,2003,1,2000,3,2004,165
,,2003,2,2003,87,2000,1,,,,,,,2002,1,2002,1,,,,,2003,18,2003,169,2003,1,1998,1,1998,1,2003,3,1996,2,1998,1,2003,125,2003,211,2003,13,2003,1,2003,7,2003,11,,,,,,,,,2003,36,2003,39,1997,2,2001,1,2003,7,2003,53,,,,,,,1999,1,1999,1,2001,2,,,2003,19,2002,1,1998,2,2003,2,2002,1,1998,1,2003,136
,,2002,5,2002,62,1999,1,,,,,,,2001,6,2001,2,,,,,2002,13,2002,127,2002,3,1997,1,1997,3,2002,2,1995,1,1996,2,2002,96,2002,157,2002,9,2002,1,2002,8,2002,4,,,,,,,,,2002,41,2002,51,1994,1,1998,1,2002,4,2002,31,,,,,,,1996,1,1997,2,2000,1,,,2002,12,2001,2,1997,1,2002,2,1999,1,1997,1,2002,145
,,2000,3,2001,49,1998,3,,,,,,,2000,1,2000,1,,,,,2001,13,2001,149,2001,2,1996,3,1996,1,2001,6,1994,1,1962,1,2001,95,2001,121,2001,2,2001,1,2001,5,2001,6,,,,,,,,,2001,33,2001,29,1992,1,1997,1,2001,2,2001,38,,,,,,,1994,1,1994,1,1999,1,,,2001,7,2000,1,1995,2,2000,5,1998,1,1993,1,2001,115
,,1998,4,2000,35,1997,2,,,,,,,1998,2,1999,1,,,,,2000,11,2000,120,1999,2,1994,1,1993,1,2000,3,1993,1,,,2000,95,2000,59,2000,4,2000,1,2000,9,2000,3,,,,,,,,,2000,24,2000,24,,,1996,2,2000,7,2000,40,,,,,,,1990,1,1991,1,1998,1,,,2000,17,1998,4,1993,2,1999,3,1997,1,1992,2,2000,143
,,1997,1,1999,41,1993,2,,,,,,,1997,3,1996,1,,,,,1999,11,1999,114,1992,1,1993,2,1986,1,1999,6,1992,1,,,1999,66,1999,51,1997,1,1998,1,1999,6,1999,2,,,,,,,,,1999,20,1999,14,,,1991,1,1999,5,1999,25,,,,,,,1983,1,,,1997,1,,,1999,11,1996,2,1992,1,1998,6,1996,3,,,1999,110
,,1996,3,1998,44,1991,1,,,,,,,1995,3,,,,,,,1998,15,1998,89,1972,1,1987,1,1978,1,1998,2,1991,1,,,1998,90,1998,41,1995,1,,,1998,10,1998,2,,,,,,,,,1998,17,1998,24,,,1972,1,1998,3,1998,29,,,,,,,,,,,1996,1,,,1998,7,1995,1,,,1997,2,1995,1,,,1998,91
,,1995,2,1997,12,,,,,,,,,1994,1,,,,,,,1997,6,1997,63,,,1980,1,,,1997,5,1986,1,,,1997,67,1997,19,1993,1,,,1997,12,1997,4,,,,,,,,,1997,8,1997,16,,,,,1997,13,1997,34,,,,,,,,,,,1995,3,,,1997,12,1994,2,,,1996,2,1993,4,,,1997,114
,,1994,1,1996,20,,,,,,,,,1993,2,,,,,,,1996,8,1996,53,,,1974,1,,,1996,4,1983,1,,,1996,72,1996,9,,,,,1996,10,1996,6,,,,,,,,,1996,15,1996,15,,,,,1996,2,1996,28,,,,,,,,,,,1993,2,,,1996,12,1993,1,,,1995,2,1992,1,,,1996,119
,,1993,1,1995,19,,,,,,,,,1992,3,,,,,,,1995,7,1995,48,,,1971,1,,,1994,1,,,,,1995,42,1995,8,,,,,1995,13,1995,3,,,,,,,,,1995,4,1995,8,,,,,1992,1,1995,13,,,,,,,,,,,1992,2,,,1995,14,1991,2,,,1994,1,,,,,1995,94
,,1992,1,1994,10,,,,,,,,,1991,1,,,,,,,1994,3,1994,46,,,1966,1,,,1993,2,,,,,1994,36,1994,5,,,,,1994,9,1994,4,,,,,,,,,1993,3,1994,5,,,,,1991,3,1994,24,,,,,,,,,,,1991,2,,,1994,10,,,,,1993,2,,,,,1994,72
,,1989,1,1993,9,,,,,,,,,,,,,,,,,1993,10,1993,29,,,1965,1,,,1992,4,,,,,1993,41,1993,7,,,,,1993,5,1993,7,,,,,,,,,1992,1,1993,6,,,,,,,1993,15,,,,,,,,,,,,,,,1993,8,,,,,1992,4,,,,,1993,65
,,1983,1,1992,12,,,,,,,,,,,,,,,,,1992,6,1992,29,,,1947,1,,,1981,2,,,,,1992,35,1992,8,,,,,1992,9,1992,2,,,,,,,,,1991,1,1992,9,,,,,,,1992,17,,,,,,,,,,,,,,,1992,10,,,,,1991,4,,,,,1992,66
,,1980,1,1991,8,,,,,,,,,,,,,,,,,1991,5,1991,35,,,,,,,1936,1,,,,,1991,32,1991,4,,,,,1991,5,1991,4,,,,,,,,,1990,1,1991,7,,,,,,,1991,14,,,,,,,,,,,,,,,1991,6,,,,,1982,1,,,,,1991,59
,,,,1990,3,,,,,,,,,,,,,,,,,1990,1,1990,2,,,,,,,1924,1,,,,,1990,9,1989,1,,,,,1990,2,1990,1,,,,,,,,,,,1984,1,,,,,,,1990,4,,,,,,,,,,,,,,,1990,1,,,,,1972,1,,,,,1990,22
,,,,1989,1,,,,,,,,,,,,,,,,,1989,1,1989,1,,,,,,,1913,1,,,,,1989,3,1986,1,,,,,1982,1,1988,2,,,,,,,,,,,,,,,,,,,1989,1,,,,,,,,,,,,,,,1989,1,,,,,1971,1,,,,,1989,8
,,,,1988,1,,,,,,,,,,,,,,,,,1983,1,1988,1,,,,,,,1910,1,,,,,1988,3,,,,,,,,,1987,1,,,,,,,,,,,,,,,,,,,1988,1,,,,,,,,,,,,,,,1987,3,,,,,,,,,,,1988,6
,,,,1987,1,,,,,,,,,,,,,,,,,1979,1,1986,1,,,,,,,,,,,,,1987,2,,,,,,,,,1984,1,,,,,,,,,,,,,,,,,,,1987,4,,,,,,,,,,,,,,,1986,1,,,,,,,,,,,1987,8
,,,,1986,2,,,,,,,,,,,,,,,,,1977,1,1983,1,,,,,,,,,,,,,1986,1,,,,,,,,,1974,2,,,,,,,,,,,,,,,,,,,1986,1,,,,,,,,,,,,,,,1984,2,,,,,,,,,,,1986,4
,,,,1985,1,,,,,,,,,,,,,,,,,1974,1,1982,2,,,,,,,,,,,,,1985,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984,2,,,,,,,,,,,,,,,1983,1,,,,,,,,,,,1985,7
,,,,1984,2,,,,,,,,,,,,,,,,,1953,1,1981,2,,,,,,,,,,,,,1984,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982,2,,,,,,,,,,,,,,,1981,1,,,,,,,,,,,1984,9
,,,,1977,1,,,,,,,,,,,,,,,,,,,1980,1,,,,,,,,,,,,,1983,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981,4,,,,,,,,,,,,,,,1979,1,,,,,,,,,,,1983,12
,,,,1975,1,,,,,,,,,,,,,,,,,,,1979,1,,,,,,,,,,,,,1982,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1979,1,,,,,,,,,,,,,,,1977,1,,,,,,,,,,,1982,10
,,,,1911,1,,,,,,,,,,,,,,,,,,,1978,1,,,,,,,,,,,,,1981,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1977,1,,,,,,,,,,,,,,,1976,2,,,,,,,,,,,1981,9
,,,,,,,,,,,,,,,,,,,,,,,,1969,1,,,,,,,,,,,,,1980,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,1,,,,,,,,,,,,,,,1974,3,,,,,,,,,,,1980,9
,,,,,,,,,,,,,,,,,,,,,,,,1967,1,,,,,,,,,,,,,1973,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973,1,,,,,,,,,,,1979,7
,,,,,,,,,,,,,,,,,,,,,,,,1904,2,,,,,,,,,,,,,1969,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972,1,,,,,,,,,,,1978,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969,1,,,,,,,,,,,1977,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1964,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966,1,,,,,,,,,,,1976,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1974,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1966,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1938,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1936,1
